MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude
2,5,80.0,10400.0,1,1,2,3,0,4,0,19,2,2,1,0,1,1976.0,1976.0,1,1,6,6,189.0,4,1,5,3,6,7,6,0,1090.0,1090.0,1,4,1,4,1370.0,0.0,1370.0,0.0,0,2.0,0.0,3.0,1,6,7,1.0,0,2,2.0,479,5,2,0,0,0,0,0,0,3,2,0,6,2009,9,3,152000,-93.634694,42.0496539
13,5,0.0,17727.75,1,1,1,2,0,1,2,4,2,2,1,5,1,1967.0,1967.0,0,5,9,10,0.0,4,2,2,1,3,4,0,0,0.0,1013.0,1,4,1,4,1160.0,966.0,2126.0,0.0,0,2.0,1.0,3.0,1,7,3,0.0,0,0,2.0,538,5,2,420,0,0,0,0,0,3,4,0,6,2009,9,0,185000,-93.6825646,42.0255464
0,5,70.0,9842.0,1,1,2,3,0,2,0,15,2,2,0,0,1,1962.0,1962.0,1,1,6,6,0.0,4,3,3,4,4,5,4,0,0.0,30.25,1,4,1,4,1224.0,0.0,1224.0,0.0,0,2.0,0.0,2.0,1,6,7,0.0,3,3,2.0,462,5,2,0,0,0,0,0,0,3,4,0,3,2007,9,4,101800,-93.621368,42.041332
0,5,60.0,7200.0,1,1,2,3,0,4,0,15,2,2,0,0,1,1949.0,1950.0,1,1,3,12,0.0,4,3,3,4,4,5,4,0,0.0,30.25,5,1,0,1,1040.0,0.0,1040.0,0.0,0,2.0,0.0,2.0,1,6,7,0.0,4,3,2.0,420,5,2,0,0,0,0,0,0,3,4,0,6,2009,9,4,90000,-93.608903,42.035841
11,6,63.0,7627.0,1,1,2,3,0,0,0,20,0,2,4,5,0,1920.0,1950.0,1,1,0,0,0.0,4,0,4,3,6,7,6,0,600.0,600.0,1,2,0,4,1101.0,600.0,1701.0,0.0,0,2.0,0.0,4.0,1,8,7,0.0,6,1,0.0,0,3,0,0,0,0,0,0,0,3,4,0,10,2009,9,4,94550,-93.6200683,42.0304742
13,5,97.0,10029.0,1,1,3,3,0,0,0,4,2,2,1,5,1,1988.0,1989.0,1,1,9,10,268.0,4,2,5,3,2,3,6,0,320.0,1151.0,1,4,1,4,1164.0,896.0,2060.0,0.0,0,2.0,1.0,4.0,1,8,7,1.0,0,3,2.0,521,5,2,0,175,0,0,0,0,3,4,0,9,2007,9,4,211000,-93.674582,42.024087
13,5,84.0,9660.0,1,1,3,3,0,4,0,17,2,2,1,5,1,1998.0,1998.0,1,1,13,14,242.0,4,2,5,3,2,3,6,0,253.0,1044.0,1,0,1,4,1079.0,897.0,1976.0,1.0,0,2.0,1.0,3.0,1,7,7,1.0,0,0,3.0,885,5,2,210,31,0,0,0,0,3,4,0,2,2006,9,4,286000,-93.654519,42.05384
2,5,75.0,11310.0,1,1,2,3,0,4,0,15,2,2,1,0,1,1954.0,1954.0,3,1,14,3,0.0,4,1,5,3,6,7,6,0,1367.0,1367.0,1,0,1,4,1375.0,0.0,1375.0,0.0,0,1.0,0.0,2.0,1,5,7,1.0,0,3,2.0,451,5,2,0,30,0,0,0,0,3,4,0,6,2006,9,4,140000,-93.618593,42.040252
13,5,0.0,17727.75,1,1,3,3,0,4,0,15,2,2,1,5,1,1965.0,1979.0,0,5,9,10,113.0,2,1,5,3,3,4,5,0,111.0,1021.0,1,4,1,4,1465.0,915.0,2380.0,0.0,0,2.0,1.0,3.0,1,7,6,1.0,3,3,2.0,596,5,2,0,175,0,0,0,0,3,4,0,8,2007,9,0,129000,-93.615535,42.046882
2,5,85.0,10200.0,1,1,2,3,0,4,0,5,2,2,1,0,1,2007.0,2007.0,1,1,13,14,180.0,4,2,5,0,2,3,6,0,100.0,1578.0,1,0,1,4,1602.0,0.0,1602.0,1.0,0,2.0,0.0,3.0,1,7,7,1.0,0,2,3.0,810,5,2,0,48,0,0,0,0,3,4,0,1,2009,9,4,293200,-93.684115,42.016468
2,5,63.0,10712.0,1,1,2,3,0,4,0,14,2,2,1,0,1,1991.0,1992.0,1,1,6,6,0.0,4,2,5,2,1,2,6,0,762.0,974.0,1,4,1,4,974.0,0.0,974.0,0.0,0,1.0,0.0,3.0,1,5,7,0.0,6,1,0.0,0,3,2,0,28,0,0,0,0,3,2,0,9,2007,7,0,93500,-93.606641,41.98651
2,5,70.0,17727.75,1,1,3,1,0,1,0,6,2,2,1,0,1,1986.0,1986.0,1,1,15,10,0.0,4,1,5,3,6,7,6,0,279.0,279.0,1,2,1,4,2145.625,0.0,2667.875,0.0,0,2.0,1.0,2.0,1,6,7,1.0,0,0,2.0,691,2,2,216,64,0,0,0,0,0,4,0,8,2007,9,4,315000,-93.640182,42.010076
